"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$33,598,021,587","4.36%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$33,585,559,842","0.57%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$33,547,337,956","0.00%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$33,544,901,160","0.50%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$33,538,806,058","3.07%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$33,472,690,308","2.98%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$33,456,634,538","2.68%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$33,316,099,275","1.49%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$33,307,082,667","1.97%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$33,256,894,890","0.00%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$33,138,564,521","1.23%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$33,003,243,102","1.66%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$32,976,264,168","1.24%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$32,913,369,818","1.35%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$32,887,435,182","2.41%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$32,554,368,457","2.43%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$32,384,517,473","0.71%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$32,159,197,914","2.58%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$32,157,652,520","0.00%","Ireland","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$32,050,376,883","1.58%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$31,948,733,136","0.00%","USA","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$31,924,627,683","2.42%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$31,788,889,208","1.18%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$31,730,811,040","2.06%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$31,421,115,181","0.00%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$31,407,818,657","3.46%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$31,291,313,277","2.27%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$31,152,587,789","0.61%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$30,918,873,483","1.75%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$30,828,315,028","1.51%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$30,803,832,142","0.17%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$30,694,151,440","0.00%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$30,652,029,736","0.00%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$30,492,015,412","1.12%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$30,492,015,412","1.18%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$30,382,669,067","0.99%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Information Technology","$30,317,522,920","0.00%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$30,271,263,721","0.00%","USA","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$30,240,216,840","0.00%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$30,170,496,745","1.15%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$30,034,585,212","0.00%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$30,034,585,212","0.00%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$30,034,585,212","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$30,034,585,212","0.00%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$29,896,290,095","5.45%","USA","Analyze"
"BLL","Ball Corp","Common stocks","Large cap","Materials","$29,872,736,088","0.80%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$29,865,341,395","2.88%","USA","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$29,845,776,690","1.66%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$29,765,040,738","0.00%","USA","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$29,467,583,192","1.20%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$29,446,727,461","2.73%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$29,435,818,629","0.65%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$29,372,594,112","0.00%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$29,362,845,060","0.52%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$29,281,877,695","0.00%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$29,021,606,228","0.00%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$28,813,671,363","1.51%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$28,736,621,274","2.90%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Large cap","Information Technology","$28,571,361,018","0.00%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$28,531,858,984","0.00%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$27,791,475,133","0.00%","USA","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$27,787,967,028","1.27%","USA","Analyze"
"CERN","Cerner Corp","Common stocks","Large cap","Health Care","$27,468,740,588","0.99%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Large cap","Information Technology","$27,414,076,392","0.00%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","Common stocks","Large cap","Health Care","$27,409,522,484","0.00%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$27,064,993,460","1.46%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$27,064,993,460","1.21%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$26,846,582,269","2.00%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$26,784,590,116","0.00%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$26,574,411,101","0.00%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$26,335,726,662","1.06%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$26,223,638,200","0.00%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$26,205,180,000","0.00%","Luxembourg","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Large cap","Information Technology","$26,126,128,832","0.00%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$26,081,936,827","2.55%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$25,757,148,178","0.00%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$25,706,482,000","0.00%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$25,670,192,210","1.44%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$25,651,236,182","1.28%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$25,594,616,779","0.00%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$25,378,225,257","0.00%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$25,262,360,033","0.79%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$24,995,777,816","0.00%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$24,990,380,461","1.15%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$24,750,063,972","0.00%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","Common stocks","Large cap","Information Technology","$24,732,132,432","0.00%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$24,725,366,757","1.78%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$24,713,792,114","0.00%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$24,707,817,439","2.02%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$24,604,656,941","3.56%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$24,550,446,387","0.00%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$24,547,915,255","4.09%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$24,498,721,852","2.05%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$24,425,037,551","2.76%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$24,363,398,694","0.82%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$24,319,461,939","0.00%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$24,207,663,000","1.00%","USA","Analyze"
"PARAA","Paramount Global - Class A","Common stocks","Large cap","Communication Services","$24,144,340,803","2.43%","USA","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$24,144,340,803","2.57%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$24,112,553,357","0.00%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$24,067,466,358","0.62%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$23,957,221,443","2.41%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$23,849,064,153","2.00%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$23,754,040,009","2.99%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$23,526,528,454","1.05%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$23,500,856,051","0.72%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$23,497,178,331","2.06%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$23,321,197,675","1.47%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","Common stocks","Large cap","Information Technology","$23,288,777,680","0.00%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$23,256,661,544","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$23,256,661,544","0.00%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$23,234,191,852","0.00%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$23,205,400,733","0.00%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$23,201,338,558","0.79%","USA","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$23,138,452,929","2.54%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$23,059,262,639","2.23%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$23,009,844,173","0.15%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$22,943,577,257","1.25%","USA","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$22,864,639,792","0.54%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$22,641,122,187","2.53%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$22,585,337,968","0.60%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$22,472,928,186","0.01%","USA","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$22,357,956,836","3.40%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$22,234,003,070","2.42%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,226,209,912","0.45%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$22,217,592,529","1.27%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$22,217,592,529","1.17%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$22,201,321,472","3.14%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$22,170,299,448","1.60%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$22,154,313,010","3.48%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$21,997,403,066","3.53%","USA","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$21,960,144,109","1.05%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$21,853,648,920","0.51%","USA","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$21,845,778,751","3.97%","USA","Analyze"
"CLR","Continental Resources Inc","Common stocks","Large cap","Energy","$21,803,256,188","1.15%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$21,617,857,591","0.00%","USA","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$21,542,166,831","1.89%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$21,507,503,775","2.86%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$21,483,645,711","0.00%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$21,434,278,893","0.00%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,173,435,283","0.00%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$20,949,849,725","0.08%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$20,831,406,135","1.84%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,790,531,176","3.13%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$20,667,904,322","3.77%","USA","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$20,642,057,688","0.00%","USA","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$20,638,804,000","0.00%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$20,611,302,585","4.92%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$20,525,896,406","2.00%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$20,368,033,274","0.00%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$20,326,346,400","0.00%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$20,232,466,711","0.91%","USA","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$20,217,404,329","1.98%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$20,051,640,000","0.00%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$19,969,175,806","0.33%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$19,959,294,739","2.19%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$19,864,784,795","0.00%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$19,784,890,000","0.37%","USA","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$19,745,790,011","1.25%","USA","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$19,639,384,578","0.56%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$19,612,101,473","5.32%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$19,594,608,766","2.32%","USA","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$19,578,335,083","0.65%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$19,547,429,441","0.00%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$19,455,574,875","3.11%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$19,444,814,552","0.00%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$19,426,111,095","0.00%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$19,182,129,543","2.64%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$19,110,887,720","0.00%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Large cap","Financials","$18,956,778,326","0.71%","USA","Analyze"
"YUMC","Yum China Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$18,917,466,566","1.08%","China","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$18,899,186,712","0.00%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$18,800,876,008","0.00%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,726,310,130","0.00%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$18,631,252,390","0.00%","USA","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$18,519,894,584","0.02%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$18,317,215,073","0.25%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$18,311,105,982","2.56%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,293,763,576","3.55%","USA","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$18,285,011,394","2.25%","USA","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$18,247,981,668","0.61%","USA","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$18,211,103,044","2.51%","USA","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$18,058,886,140","0.20%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Industrials","$18,049,184,672","0.12%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$18,049,184,672","0.15%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$18,039,789,579","0.00%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$18,027,714,323","0.00%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$17,998,657,729","0.00%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,935,099,487","1.61%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$17,901,678,723","3.28%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$17,883,324,851","3.57%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$17,874,765,274","1.08%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,817,497,362","0.53%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,665,196,634","4.05%","United Kingdom","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$17,599,149,053","0.00%","USA","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$17,506,845,982","0.29%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$17,470,544,442","0.00%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$17,454,949,738","0.77%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$17,375,289,818","0.00%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$17,328,110,532","1.71%","USA","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$17,307,598,544","0.00%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Utilities","$17,264,550,882","3.89%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$17,067,714,958","3.10%","USA","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$17,040,003,206","2.00%","USA","Analyze"
"RPRX","Royalty Pharma plc - Class A","Common stocks","Large cap","Health Care","$17,024,123,719","1.77%","USA","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$16,971,927,744","0.54%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$16,940,163,174","4.16%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$16,890,695,601","0.00%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$16,875,506,678","0.00%","USA","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$16,866,059,962","0.95%","USA","Analyze"
"CG","Carlyle Group","Common stocks","Large cap","Financials","$16,853,819,689","2.10%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$16,813,677,600","1.05%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$16,749,023,379","0.00%","USA","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Large cap","Communication Services","$16,647,678,197","0.00%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$16,643,654,213","0.00%","USA","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,598,622,375","0.74%","USA","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$16,442,723,974","3.40%","USA","Analyze"
"ACI","Albertsons Companies, Inc. Class A","Common stocks","Large cap","Consumer Staples","$16,428,782,733","1.24%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$16,412,313,281","0.39%","USA","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$16,295,602,605","1.51%","USA","Analyze"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$16,267,602,821","0.00%","USA","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$16,257,152,757","0.11%","USA","Analyze"
"STLD","Steel Dynamics Inc","Common stocks","Large cap","Materials","$16,109,302,432","1.23%","USA","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$15,993,120,371","0.29%","USA","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$15,972,092,877","1.81%","USA","Analyze"
"CCK","Crown Holdings Inc","Common stocks","Large cap","Materials","$15,960,198,207","0.64%","USA","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$15,872,847,148","3.37%","USA","Analyze"
"WLK","Westlake Chemical Corp","Common stocks","Large cap","Materials","$15,853,207,146","0.93%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Large cap","Communication Services","$15,847,344,339","0.00%","USA","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$15,845,543,617","0.94%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$15,843,893,312","1.29%","USA","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$15,810,590,914","2.55%","USA","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$15,701,286,544","0.39%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$15,431,980,791","1.89%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$15,426,841,969","0.00%","USA","Analyze"
"AA","Alcoa Corp","Common stocks","Large cap","Materials","$15,284,625,958","0.24%","USA","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,267,280,586","2.30%","USA","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$15,264,498,497","0.17%","USA","Analyze"
"WPC","W. P. Carey Inc","REITs","Large cap","Real Estate","$15,246,688,966","5.15%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$15,225,605,982","3.77%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,147,068,854","1.08%","USA","Analyze"
"PLUG","Plug Power Inc","Common stocks","Large cap","Industrials","$15,114,936,474","0.00%","USA","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$15,093,051,295","2.68%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$15,029,906,671","0.00%","USA","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$14,978,800,241","0.94%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Large cap","Financials","$14,902,135,288","2.19%","USA","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$14,863,205,156","2.53%","USA","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,851,935,879","3.38%","USA","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$14,842,315,826","2.88%","USA","Analyze"
"BG","Bunge Ltd","Common stocks","Large cap","Consumer Staples","$14,824,012,123","1.96%","USA","Analyze"
